ts_code,trade_date,adj_factor
000757.SZ,20250922,4.024
000758.SZ,20250922,17.0262
000759.SZ,20250922,7.071
000761.SZ,20250922,2.398
000762.SZ,20250922,5.5284
000766.SZ,20250922,3.268
000767.SZ,20250922,10.762
000768.SZ,20250922,8.6127
000776.SZ,20250922,6.4166
000777.SZ,20250922,7.318
000778.SZ,20250922,15.1717
000779.SZ,20250922,2.412
000782.SZ,20250922,3.46
000783.SZ,20250922,6.3679
000785.SZ,20250922,7.2587
000786.SZ,20250922,11.9279
000788.SZ,20250922,3.8331
000789.SZ,20250922,7.1065
000790.SZ,20250922,12.3632
000791.SZ,20250922,4.0814
