secucode,code,name,industry,market,listing_date
600879.SH,600879,航天电子,航空,主板,1995-11-15
600880.SH,600880,博瑞传播,广告包装,主板,1995-11-15
600881.SH,600881,亚泰集团,综合类,主板,1995-11-15
600882.SH,600882,妙可蓝多,乳制品,主板,1995-12-06
600883.SH,600883,博闻科技,种植业,主板,1995-12-08
600884.SH,600884,杉杉股份,电气设备,主板,1996-01-30
600885.SH,600885,宏发股份,电气设备,主板,1996-02-05
600886.SH,600886,国投电力,水力发电,主板,1996-01-18
600887.SH,600887,伊利股份,乳制品,主板,1996-03-12
600888.SH,600888,新疆众和,铝,主板,1996-02-15
600889.SH,600889,*ST京化,机械基件,主板,1996-03-08
600892.SH,600892,*ST大晟,互联网,主板,1996-03-15
600893.SH,600893,航发动力,航空,主板,1996-04-08
600894.SH,600894,广日股份,运输设备,主板,1996-03-28
600895.SH,600895,张江高科,园区开发,主板,1996-04-22
600897.SH,600897,厦门空港,机场,主板,1996-05-31
600900.SH,600900,长江电力,水力发电,主板,2003-11-18
600960.SH,600960,渤海汽车,汽车配件,主板,2004-04-07
600963.SH,600963,岳阳林纸,造纸,主板,2004-05-25
600966.SH,600966,博汇纸业,造纸,主板,2004-06-08
600967.SH,600967,内蒙一机,运输设备,主板,2004-05-18
600969.SH,600969,郴电国际,水力发电,主板,2004-04-08
600975.SH,600975,新五丰,农业综合,主板,2004-06-09
600976.SH,600976,健民集团,中成药,主板,2004-04-19
600980.SH,600980,北矿科技,专用机械,主板,2004-05-12
600985.SH,600985,淮北矿业,煤炭开采,主板,2004-04-28
600986.SH,600986,浙文互联,互联网,主板,2004-04-26
600988.SH,600988,赤峰黄金,黄金,主板,2004-04-14
600990.SH,600990,四创电子,通信设备,主板,2004-05-10
600992.SH,600992,贵绳股份,钢加工,主板,2004-05-14
600993.SH,600993,马应龙,中成药,主板,2004-05-17
600995.SH,600995,南网储能,水力发电,主板,2004-06-15
600997.SH,600997,开滦股份,焦炭加工,主板,2004-06-02
002017.SZ,002017,东信和平,通信设备,主板,2004-07-13
002003.SZ,002003,伟星股份,服饰,主板,2004-06-25
002004.SZ,002004,华邦健康,农药化肥,主板,2004-06-25
002005.SZ,002005,ST德豪,家用电器,主板,2004-06-25
002006.SZ,002006,精工科技,专用机械,主板,2004-06-25
002007.SZ,002007,华兰生物,生物制药,主板,2004-06-25
002008.SZ,002008,大族激光,专用机械,主板,2004-06-25
002009.SZ,002009,天奇股份,工程机械,主板,2004-06-29
002010.SZ,002010,传化智联,仓储物流,主板,2004-06-29
002011.SZ,002011,盾安环境,家用电器,主板,2004-07-05
002012.SZ,002012,凯恩股份,造纸,主板,2004-07-05
002014.SZ,002014,永新股份,塑料,主板,2004-07-08
002015.SZ,002015,协鑫能科,新型电力,主板,2004-07-08
002016.SZ,002016,世荣兆业,区域地产,主板,2004-07-08
002019.SZ,002019,亿帆医药,化学制药,主板,2004-07-13
002020.SZ,002020,京新药业,化学制药,主板,2004-07-15
002021.SZ,002021,中捷资源,纺织机械,主板,2004-07-15
002022.SZ,002022,科华生物,医疗保健,主板,2004-07-21
002023.SZ,002023,海特高新,航空,主板,2004-07-21
002024.SZ,002024,ST易购,电器连锁,主板,2004-07-21
002025.SZ,002025,航天电器,元器件,主板,2004-07-26
002026.SZ,002026,山东威达,机械基件,主板,2004-07-27
002027.SZ,002027,分众传媒,广告包装,主板,2004-08-04
002028.SZ,002028,思源电气,电气设备,主板,2004-08-05
002029.SZ,002029,七匹狼,服饰,主板,2004-08-06
002030.SZ,002030,达安基因,医疗保健,主板,2004-08-09
002031.SZ,002031,巨轮智能,汽车配件,主板,2004-08-16
002032.SZ,002032,苏泊尔,家用电器,主板,2004-08-17
002033.SZ,002033,丽江股份,旅游景点,主板,2004-08-25
002034.SZ,002034,旺能环境,环境保护,主板,2004-08-26
002035.SZ,002035,华帝股份,家用电器,主板,2004-09-01
002036.SZ,002036,联创电子,元器件,主板,2004-09-03
002037.SZ,002037,保利联合,化工原料,主板,2004-09-08
002038.SZ,002038,双鹭药业,生物制药,主板,2004-09-09
600022.SH,600022,山东钢铁,普钢,主板,2004-06-29
600143.SH,600143,金发科技,塑料,主板,2004-06-23
