rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,avg_amount_20_used,close,trade_date
43,603618,杭电股份,制造业-电气机械和器材制造业,97.19626168224299,1.5405121551409093,2.462634002405424,1.1315797590535799,0.14392547934037325,1.6251901236484692,0.12172950243037989,0.10679611650485432,0.3250266273401333,0.15522902120386278,0.9473804384359366,13.063999999999998,14.521025,0.05062709918327967,0.65,-0.12295869356388078,1967834903.45,22.8,2026-03-24
44,300497,富祥药业,制造业-医药制造业,97.12950600801068,1.5153445877382858,2.1263641540075624,2.7712691661254603,-1.042226903603698,1.2028467688309017,0.11448900388098315,0.07218419415059119,0.04171704957678357,0.10022029947958222,1.6983404066048542,9.986,5.525,0.0666224653466192,0.45,-0.13174019607843135,391643240.702,17.17,2026-03-24
45,002756,永兴材料,制造业-有色金属冶炼和压延加工业,97.06275033377837,1.5110559924875036,2.5670757079316657,1.6695827352695303,0.1423498179443583,0.2557337460572202,0.08568278469050261,-0.07189982496297276,0.20951044042814537,0.03601166320978755,1.0945523622043092,6.246,5.5205,0.04881925228382171,0.6,-0.2161034064898344,1410732200.786,69.8,2026-03-24
46,600996,贵广网络,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务,96.99599465954606,1.5056484266489734,2.462626516580543,2.152142330262091,-0.07582625095006168,-0.015150082391693916,0.09143518518518512,0.13614457831325288,0.07648401826484008,0.10531559514739475,1.6983404066048542,4.898000000000001,2.8745000000000003,0.041649366052608126,0.55,-0.09837962962962965,313972198.4,9.48,2026-03-24
47,000509,华塑控股,制造业-计算机、通信和其他电子设备制造业,96.92923898531375,1.5056025569362983,2.5591461798708472,1.5819459759918755,0.5476053286927841,-0.1537564983237764,0.08153477218225413,0.13602015113350108,0.28490028490028485,0.1503634740466775,1.2830026035005206,7.8340000000000005,6.5525,0.05456511296269281,0.65,-0.09911894273127753,283444617.024,4.53,2026-03-24
48,600408,安泰集团,制造业-黑色金属冶炼和压延加工业,96.86248331108143,1.5016810953956354,1.6556016082574168,2.4003771407371355,0.39853209056667765,1.0642649919669938,-0.05386416861826693,0.10684931506849327,0.030612244897959107,0.013547415955845299,1.4131050123989337,14.006399999999989,12.078,0.05553529984294352,0.5,-0.1097560975609756,494663363.35,4.03,2026-03-24
49,301179,泽宇智能,信息传输、软件和信息技术服务业-软件和信息技术服务业,96.79572763684912,1.4756209415608517,2.636381666582475,1.05257029920261,0.09205993452126537,0.9300914214863741,0.12172950243037989,-0.015583428354237983,0.3250266273401333,0.15478074770938743,1.0000787342192907,10.51,10.942499999999999,0.0537255915548621,0.65,-0.16457620676548834,599964487.1784999,25.4,2026-03-24
50,301180,万祥科技,制造业-计算机、通信和其他电子设备制造业,96.72897196261682,1.4657983467767115,1.850715797427026,1.825845963299826,1.256873646108062,0.11783871839554849,0.022790697674418547,0.12423312883435589,0.1886486486486485,0.08751020004450938,1.2504054034041343,10.129999999999999,8.5785,0.03602205004406077,0.6,-0.06509392747924869,289643047.9555,22.2,2026-03-24
51,300308,中际旭创,制造业-计算机、通信和其他电子设备制造业,96.66221628838451,1.4387345309403017,2.2514832327908856,0.5934527670022935,0.9923911648891358,1.2753320873036458,0.0862068965517242,0.1357900050479557,0.11293656261593088,0.11590537122451994,1.1374691128730836,3.056,2.8600000000000003,0.036474907327805096,0.55,-0.08079060501205837,3862734371.5438232,622.32,2026-03-24
52,000677,恒天海龙,制造业-纺织业,96.5954606141522,1.4207714445813178,2.017310722044227,2.0849960077962324,0.22162551474416714,0.32182033910490293,0.08102345415778256,0.09267241379310365,0.2100238663484486,0.12342122756481277,1.298468162927642,9.658,7.5280000000000005,0.06751255971708495,0.55,-0.12670565302144243,304354209.082,5.06,2026-03-24
53,300302,同有科技,信息传输、软件和信息技术服务业-软件和信息技术服务业,96.52870493991989,1.4121687147068684,1.6678169872308883,2.9102198252385802,-0.684028476636085,1.028617725547233,-0.06685461135722903,0.15388446215139462,0.21182008368200833,0.11835119220001933,1.6983404066048542,14.006399999999989,10.072500000000002,0.07816865814313391,0.5,-0.14901664145234494,840355925.324,23.24,2026-03-24
54,000670,盈方微,批发和零售业-批发业,96.46194926568758,1.3918307702267498,1.5430721619760819,2.7713680661019553,0.19617414314725604,0.28350040187584674,0.0734939759036144,0.10545905707196024,0.030057803468207966,0.08203291031635196,1.6983404066048542,13.39,6.4875,0.04195217115712034,0.5,-0.1131639722863742,447069788.57650006,8.88,2026-03-24
55,603211,晋拓股份,制造业-汽车制造业,96.39519359145527,1.381644397317751,1.9489746626252455,1.8550406230955334,0.992079693237329,-0.40081041435797504,0.005591054313099031,0.07103360272224579,0.10632688927943756,0.09212352532963242,1.6983404066048542,4.566,2.7835,0.03143309933730283,0.55,-0.0922942969090117,179537443.25,24.95,2026-03-24
56,301399,英特科技,制造业-通用设备制造业,96.32843791722297,1.3815024401877494,1.6898018288543102,2.5800885043352086,-0.12089652746172734,0.5649259203637897,-0.016270888302550413,0.0256762952773959,0.048266166822867884,0.05270588235294116,1.258813450345504,13.124,10.5085,0.049166415388240965,0.45,-0.11521547933157417,123815075.79,22.38,2026-03-24
57,601908,京运通,制造业-电气机械和器材制造业,96.26168224299066,1.3797017745418592,1.859339618015502,1.632937855493517,1.461167387289441,-0.43001342663739456,0.09592326139088736,0.09855769230769229,0.12285012285012287,0.0982936794039897,1.6129114131447109,7.030000000000001,4.486000000000001,0.021201890273604668,0.6,-0.051094890510948954,454482654.55,4.49,2026-03-24
58,603227,雪峰科技,制造业-化学原料和化学制品制造业,96.19492656875835,1.3577514874816659,1.7346508334262611,1.6686031937104517,1.7620857138744084,-0.7045119139422212,0.034285714285714475,-0.001103752759381904,0.03075170842824626,0.016739692169419174,1.2895047195166647,2.466,1.884,0.01771844153187948,0.55,-0.06703296703296702,180012215.3,9.05,2026-03-24
59,600683,京投发展,房地产业-房地产业,96.12817089452604,1.3559164949394749,1.719677535529632,1.913079801958841,0.28936030787315487,0.8793564577552057,0.011278195488721776,0.15941289865051597,0.3250266273401333,0.15522902120386278,1.4299473213825171,7.356,6.1065,0.06054192594286639,0.65,-0.07236842105263175,401125817.45,11.21,2026-03-24
60,603042,华脉科技,制造业-计算机、通信和其他电子设备制造业,96.06141522029372,1.3484554195801859,1.7398651097067155,2.00343674679744,0.0022369997728726443,1.0080185936237687,0.07540485829959498,0.0514596734289956,0.09875904860392959,0.06746370623398801,1.091470329888324,14.006399999999989,14.521025,0.05315309895609844,0.5,-0.12156295224312585,482409829.0,21.01,2026-03-24
61,001400,江顺科技,制造业-专用设备制造业,95.99465954606141,1.3457663209129405,1.7624204733997066,2.1928499294195363,-0.4893356285527214,1.2696851660581197,0.05410434409217779,-0.006475548060708269,0.3250266273401333,0.10969219584044354,1.1637033350134218,14.006399999999989,14.521025,0.05989847689257123,0.55,-0.14313659359190556,334679961.4315,147.29,2026-03-24
62,002616,长青集团,水利、环境和公共设施管理业-生态保护和环境治理业,95.9279038718291,1.323925086100026,1.5582259948366743,1.9490104980283158,1.322839274158973,-0.3412386078234494,0.07455429497568877,0.0625,0.1470588235294117,0.08351037751266532,1.5572009257549488,6.452000000000001,4.2305,0.027095753835182132,0.6,-0.04881889763779523,153116400.10900003,6.63,2026-03-24
63,603826,坤彩科技,制造业-化学原料和化学制品制造业,95.86114819759679,1.3169584034224076,3.112677658101709,-0.15566911034999764,0.9799934605126468,-0.5679604955553739,0.07281754240794358,0.07415078707539347,0.26057365094798257,0.12069151809832523,0.7777096038238539,1.546,2.0789999999999997,0.03967584923657007,0.65,-0.09886229894076104,312558354.95,26.07,2026-03-24
