strategy,signal_date,rank,code,ts_code,name,industry,entry_close,exit_date,exit_price,exit_reason,hold_days,ret_pct,win
short,20260427,5,002407,002407.SZ,多氟多,制造业-化学原料和化学制品制造业,33.95,20260508,34.99,retracement,6,3.06,1
short,20260428,1,301261,301261.SZ,恒工精密,制造业-通用设备制造业,89.76,20260519,99.78,expired,12,11.16,1
short,20260428,2,603399,603399.SH,永杉锂业,制造业-有色金属冶炼和压延加工业,16.03,20260429,17.63,limit_up,1,9.98,1
short,20260428,3,300209,300209.SZ,行云科技,批发和零售业-零售业,14.19,20260429,17.03,limit_up,1,20.01,1
short,20260428,4,301248,301248.SZ,杰创智能,信息传输、软件和信息技术服务业-软件和信息技术服务业,86.35,20260514,89.33,retracement,9,3.45,1
short,20260428,5,601789,601789.SH,宁波建工,建筑业-土木工程建筑业,5.98,20260519,6.2,expired,12,3.68,1
short,20260430,1,300632,300632.SZ,光莆股份,制造业-电气机械和器材制造业,24.47,20260519,42.24,limit_up,10,72.62,1
short,20260430,2,300769,300769.SZ,德方纳米,制造业-计算机、通信和其他电子设备制造业,74.6,20260519,70.77,expired,10,-5.13,0
short,20260430,3,600379,600379.SH,宝光股份,制造业-电气机械和器材制造业,16.78,20260506,18.46,limit_up,1,10.01,1
short,20260430,4,002990,002990.SZ,盛视科技,信息传输、软件和信息技术服务业-软件和信息技术服务业,53.83,20260507,64.25,limit_up,2,19.36,1
short,20260430,5,002805,002805.SZ,丰元股份,制造业-计算机、通信和其他电子设备制造业,22.85,20260506,25.14,limit_up,1,10.02,1
short,20260506,1,000783,000783.SZ,长江证券,金融业-资本市场服务,8.79,20260507,8.34,retracement,1,-5.12,0
short,20260506,2,300254,300254.SZ,仟源医药,制造业-医药制造业,14.68,20260519,13.97,expired,9,-4.84,0
short,20260506,3,000815,000815.SZ,美利云,制造业-造纸和纸制品业,20.92,20260514,21.34,retracement,6,2.01,1
short,20260506,4,002283,002283.SZ,天润工业,制造业-汽车制造业,12.35,20260508,11.35,stop_loss,2,-8.1,0
short,20260506,5,002428,002428.SZ,云南锗业,制造业-有色金属冶炼和压延加工业,77.01,20260512,101.42,limit_up,4,31.7,1
short,20260507,1,600539,600539.SH,狮头股份,批发和零售业-零售业,20.59,20260511,19.23,retracement,2,-6.61,0
short,20260507,2,000060,000060.SZ,中金岭南,制造业-有色金属冶炼和压延加工业,8.08,20260512,7.76,retracement,3,-3.96,0
short,20260507,3,301316,301316.SZ,慧博云通,信息传输、软件和信息技术服务业-软件和信息技术服务业,58.35,20260519,56.56,expired,8,-3.07,0
short,20260507,4,002317,002317.SZ,众生药业,制造业-医药制造业,20.49,20260508,22.54,limit_up,1,10.0,1
short,20260507,5,000889,000889.SZ,中嘉博创,信息传输、软件和信息技术服务业-软件和信息技术服务业,5.35,20260513,5.57,limit_up,4,4.11,1
short,20260508,1,301118,301118.SZ,恒光股份,制造业-化学原料和化学制品制造业,29.98,20260518,34.85,retracement,6,16.24,1
short,20260508,2,002050,002050.SZ,三花智控,制造业-通用设备制造业,51.69,20260519,52.33,expired,7,1.24,1
short,20260508,3,603085,603085.SH,天成自控,制造业-汽车制造业,13.56,20260519,13.66,expired,7,0.74,1
short,20260508,4,002079,002079.SZ,苏州固锝,制造业-计算机、通信和其他电子设备制造业,12.39,20260519,12.69,expired,7,2.42,1
short,20260508,5,603051,603051.SH,鹿山新材,制造业-橡胶和塑料制品业,24.77,20260519,24.65,expired,7,-0.48,0
short,20260511,1,605111,605111.SH,新洁能,制造业-计算机、通信和其他电子设备制造业,46.29,20260519,51.06,expired,6,10.3,1
short,20260511,2,603375,603375.SH,盛景微,制造业-计算机、通信和其他电子设备制造业,48.63,20260519,47.91,expired,6,-1.48,0
short,20260511,3,300537,300537.SZ,广信材料,制造业-化学原料和化学制品制造业,25.08,20260519,31.66,expired,6,26.24,1
short,20260511,4,002185,002185.SZ,华天科技,制造业-计算机、通信和其他电子设备制造业,14.38,20260519,15.3,expired,6,6.4,1
short,20260511,5,300085,300085.SZ,银之杰,信息传输、软件和信息技术服务业-软件和信息技术服务业,42.0,20260515,39.37,retracement,4,-6.26,0
short,20260512,1,000737,000737.SZ,北方铜业,制造业-有色金属冶炼和压延加工业,16.0,20260515,14.54,stop_loss,3,-9.13,0
short,20260512,2,000966,000966.SZ,长源电力,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,5.08,20260519,5.09,expired,5,0.2,1
short,20260512,3,301123,301123.SZ,奕东电子,制造业-计算机、通信和其他电子设备制造业,75.65,20260514,71.9,retracement,2,-4.96,0
short,20260512,4,603530,603530.SH,神马电力,制造业-电气机械和器材制造业,69.11,20260514,63.4,stop_loss,2,-8.26,0
short,20260512,5,600089,600089.SH,特变电工,制造业-电气机械和器材制造业,29.18,20260518,26.76,stop_loss,4,-8.29,0
tail,20260514,1,601208,601208.SH,东材科技,化工原料,49.6,20260515,45.58,stop_loss,1,-8.1,0
tail,20260514,2,002432,002432.SZ,九安医疗,医疗保健,77.92,20260515,74.38,retracement,1,-4.54,0
tail,20260514,3,300745,300745.SZ,欣锐科技,汽车配件,48.58,20260519,49.61,expired,3,2.12,1
tail,20260514,4,600330,600330.SH,天通股份,专用机械,35.07,20260515,29.52,stop_loss,1,-15.83,0
tail,20260514,5,301588,301588.SZ,美新科技,家居用品,36.28,20260519,35.99,expired,3,-0.8,0
tail,20260514,1,601208,601208.SH,东材科技,化工原料,49.6,20260515,45.58,stop_loss,1,-8.1,0
tail,20260514,2,002432,002432.SZ,九安医疗,医疗保健,77.92,20260515,74.38,retracement,1,-4.54,0
tail,20260514,3,601868,601868.SH,中国能建,建筑工程,3.53,20260515,3.24,stop_loss,1,-8.22,0
tail,20260514,4,300745,300745.SZ,欣锐科技,汽车配件,48.58,20260519,49.61,expired,3,2.12,1
tail,20260514,5,603139,603139.SH,康惠股份,中成药,40.07,20260519,38.68,expired,3,-3.47,0
