ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
300151.SZ,20250926,1.8913,0.72,75.782,4.3856,676286.0922,468245.2167
000726.SZ,20250926,1.9279,1.1,9.0574,0.5647,544326.171,392074.8367
002813.SZ,20250926,11.9153,0.81,,11.4374,311760.0,311386.0829
002274.SZ,20250926,1.4342,0.96,73.21,1.0902,594275.5391,585217.8571
601228.SH,20250926,1.4367,0.6,27.4029,1.1875,2497239.8772,2497239.8772
601326.SH,20250926,1.5216,0.74,12.4975,0.9685,1927657.14,1641357.855
300587.SZ,20250926,5.2442,1.48,,4.4097,1037316.7688,840498.0713
688070.SH,20250926,6.1297,1.06,,8.2077,475997.3,475997.3
002997.SZ,20250926,5.847,0.57,19.9829,3.5594,830377.6963,830377.6963
002170.SZ,20250926,4.2064,1.22,14.3361,2.9848,1025183.3534,831321.6155
300075.SZ,20250926,3.114,1.15,,2.8787,1009336.5068,837587.5235
000820.SZ,20250926,0.678,0.73,,11.0803,168104.3465,77211.388
000901.SZ,20250926,11.5254,2.16,135.2621,3.0435,1316234.1185,1316220.8853
300264.SZ,20250926,3.8947,0.98,,132.1933,260237.9409,223739.0876
688456.SH,20250926,4.295,0.95,76.7744,4.1025,504824.2,504824.2
603860.SH,20250926,3.825,0.88,40.9279,2.5442,202040.4,202040.4
002003.SZ,20250926,0.8483,0.61,17.8966,2.6636,1170058.5427,1017630.651
603230.SH,20250926,2.6918,0.89,12.6234,1.5872,431651.583,431651.583
301289.SZ,20250926,8.573,1.26,49.2745,4.104,395694.0,393421.8033
000920.SZ,20250926,5.5621,0.67,26.3694,3.0788,592666.882,529159.785
300019.SZ,20250926,3.5764,0.59,28.1317,3.1396,815717.1525,700391.1342
300024.SZ,20250926,3.7453,0.73,,6.9252,3024777.7434,2975138.7785
920061.BJ,20250926,3.3738,0.63,301.4149,8.9206,246632.36,130613.0696
300772.SZ,20250926,10.1469,1.42,33.235,2.3565,1531992.4816,1358659.2374
600392.SH,20250926,11.4588,1.5,60.9147,3.8024,3975410.6608,3975410.6608
600475.SH,20250926,5.0599,0.99,24.7215,1.7013,1464539.4968,1444500.9368
688543.SH,20250926,4.8641,1.51,52.5741,4.6457,1031470.7763,572736.4563
000898.SZ,20250926,1.6846,0.7,,0.5086,2370412.9783,2013208.5818
600546.SH,20250926,2.7903,0.92,12.0937,1.2386,1974526.3154,1974526.3154
301231.SZ,20250926,3.5475,0.77,,2.3067,200365.6,127958.6
301551.SZ,20250926,8.7736,9.01,58.3643,6.6245,1648041.2,636761.3264
600961.SH,20250926,6.192,0.75,15.9478,4.6833,1596434.5821,1118696.8482
603596.SH,20250926,2.3318,0.7,24.6415,4.515,3138693.4935,3138693.4935
301137.SZ,20250926,57.9343,4.69,175.8947,4.9906,676891.2882,670696.2162
605122.SH,20250926,3.0922,0.86,,1.1244,226817.864,226817.864
301012.SZ,20250926,9.0177,0.65,90.0866,4.0303,464825.9823,338547.1023
600828.SH,20250926,10.6072,0.96,,0.9963,699720.9486,699469.5131
600165.SH,20250926,1.2636,0.57,,,264365.1372,264365.1372
000682.SZ,20250926,3.54,0.96,22.2611,3.0773,1633005.4945,1632798.3517
920110.BJ,20250926,2.7766,0.33,32.4191,4.4091,152295.0,63413.295
688565.SH,20250926,2.2275,0.86,103.8412,3.0338,148681.89,148681.89
002721.SZ,20250926,2.2028,0.79,,4.4551,920145.0008,920145.0008
603583.SH,20250926,6.007,0.69,44.993,3.6068,1637163.7083,1637163.7083
600108.SH,20250926,1.6517,0.54,59.9763,1.3248,568499.2153,568499.2153
600583.SH,20250926,1.6804,0.9,11.3367,0.8831,2338896.6892,2338896.6892
603308.SH,20250926,3.0302,0.75,68.5117,4.5971,2210942.6519,2210942.6519
688135.SH,20250926,10.6903,0.5,,6.4555,696521.3915,696521.3915
300626.SZ,20250926,4.1103,0.81,,3.7132,193140.0,193034.3363
688583.SH,20250926,5.4129,0.93,72.6873,7.7479,884000.0,176800.01
600523.SH,20250926,2.677,0.83,30.3267,1.8699,579782.4329,579399.9851
300093.SZ,20250926,4.6554,1.2,,,270648.0,270217.9704
