rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,vol_base,accel,avg_amount_20_used,close,trade_date
2241,603969,银龙股份,制造业-金属制品业,11.216805390408243,-0.32389506928100015,-0.8316579643932778,0.2612467077234771,0.11254819230408303,-0.5270213261024993,-0.06748333333333334,-0.08316666666666667,-0.06273333333333334,-0.08316666666666667,1.2072,3.39,3.39,0.0433,0.45295,-0.0433,0.0433,-0.004750000000000004,259770167.0,8.97,2026-04-28
2242,300727,润禾材料,制造业-化学原料和化学制品制造业,11.17717003567182,-0.3239065388481405,-0.3139596767232264,-0.6182984673121861,0.3340462722501192,-0.7370487052055152,-0.026625,-0.037349999999999994,-0.042899999999999994,-0.037349999999999994,1.0636,2.03,2.03,0.035,0.467825,-0.035,0.035,0.016274999999999994,110087073.82,33.44,2026-04-28
2243,600198,大唐电信,制造业-计算机、通信和其他电子设备制造业,11.137534680935394,-0.3244428220933482,-0.4921299970231207,-0.2888796048810505,0.4152063364918521,-0.9227479290813846,-0.05736666666666666,-0.07833333333333334,-0.08386666666666666,-0.07833333333333334,1.1456,1.73,1.73,0.034,0.4371,-0.034,0.034,0.026499999999999996,180521613.0,7.94,2026-04-28
2244,300557,理工光科,制造业-专用设备制造业,11.09789932619897,-0.32487071127903344,-0.3467579096857277,-0.3065516971061061,-0.06455626806297486,-0.6441224634374725,-0.037474999999999994,-0.04485,-0.0295,-0.04485,1.1204,2.84,2.84,0.0496,0.477875,-0.0496,0.0496,-0.007974999999999996,118683176.85,34.82,2026-04-28
2245,300224,正海磁材,制造业-非金属矿物制品业,11.058263971462544,-0.3256613699655675,-0.5062024504117381,-0.5522540228640147,0.5894032245250687,-0.686650193265882,-0.047433333333333334,-0.07106666666666667,-0.09453333333333334,-0.07106666666666667,1.0952,2.3,2.3,0.031400000000000004,0.4291,-0.031400000000000004,0.031400000000000004,0.04710000000000001,273160987.22,12.73,2026-04-28
2246,002277,友阿股份,批发和零售业-零售业,11.01862861672612,-0.3267206276159512,-0.4715203792819086,-0.39357300215418123,0.406865324226856,-0.8072819347334244,-0.052241666666666665,-0.07698333333333333,-0.09896666666666666,-0.07698333333333333,1.11,1.27,1.27,0.0275,0.425775,-0.0275,0.0275,0.046724999999999996,106742931.5615,5.66,2026-04-28
2247,002422,科伦药业,制造业-医药制造业,10.978993261989695,-0.3270299576720731,-0.3847591315446486,-0.4727000646381196,0.07720738301422903,-0.46928510331686346,-0.018241666666666663,-0.01718333333333333,0.004233333333333333,-0.01718333333333333,1.0772,1.1207500000000001,1.1207500000000001,0.0424,0.503175,-0.0424,0.0424,-0.022474999999999995,430512294.74,32.6,2026-04-28
2248,300600,国瑞科技,制造业-铁路、船舶、航空航天和其他运输设备制造业,10.93935790725327,-0.3270372299313321,0.1465328202739407,-0.8685819767883294,-0.40984363938542656,-0.5769075731116048,-0.023508333333333332,-0.03611666666666667,-0.05043333333333334,-0.03611666666666667,1.0436,3.64,3.64,0.0559,0.462175,-0.0559,0.0559,0.026925000000000004,138844067.84,12.73,2026-04-28
2249,000892,欢瑞世纪,文化、体育和娱乐业-广播、电视、电影和录音制作业,10.899722552516845,-0.32771850131186825,-0.9843470011744808,0.7347290153778967,-0.4289038408980349,-0.2125412433796204,-0.07211666666666666,-0.10473333333333334,-0.10808999999999999,-0.10473333333333334,1.158,5.87,5.87,0.0414,0.4189325,-0.0414,0.0414,0.05835000000000001,215518204.0,5.1,2026-04-28
2250,300663,科蓝软件,信息传输、软件和信息技术服务业-软件和信息技术服务业,10.86008719778042,-0.32832000375286047,-0.4210155589387112,-0.1002245680791968,-0.21089259824912168,-0.6178607900516832,-0.0665,-0.0948,-0.10808999999999999,-0.0948,1.1528,2.58,2.58,0.0452,0.4189325,-0.0452,0.0452,0.046700000000000005,147885543.81,12.35,2026-04-28
2251,605365,立达信,制造业-电气机械和器材制造业,10.820451843043994,-0.32883249714086177,0.28527410616516286,-0.8531191557198843,-0.8137708795288203,-0.44605449847461165,0.021625,0.05125,0.1185,0.05125,1.032,3.09,3.09,0.0728,0.588875,-0.0728,0.0728,-0.09687499999999999,470281463.0,29.7,2026-04-28
2252,300551,古鳌科技,制造业-通用设备制造业,10.78081648830757,-0.3291899670790004,-0.42682672888340323,-0.36027172482061803,0.1276799142393283,-0.6261821811223354,-0.05395,-0.0759,-0.0878,-0.0759,1.1280000000000001,2.7,2.7,0.0405,0.43415,-0.0405,0.0405,0.033850000000000005,125820728.0,13.62,2026-04-28
2253,300790,宇瞳光学,制造业-计算机、通信和其他电子设备制造业,10.741181133571146,-0.32936964020524384,-0.31786178716774166,-0.06899995989959964,-0.6295008663413854,-0.3938317472998012,-0.039275000000000004,-0.04715,-0.03149999999999999,-0.04715,1.1256,4.84,4.84,0.061799999999999994,0.476375,-0.061799999999999994,0.061799999999999994,-0.007775000000000011,451937228.91,28.35,2026-04-28
2254,300485,赛升药业,制造业-医药制造业,10.70154577883472,-0.32942764238834366,-0.07941450117158566,-0.41743416464345456,-0.7515550874537644,-0.2866152217872858,-0.005166666666666667,-0.006033333333333333,-0.0034666666666666665,-0.006033333333333333,1.0172,4.53,4.53,0.0616,0.4974,-0.0616,0.0616,-0.0017000000000000001,145199503.48,11.47,2026-04-28
2255,301115,联检科技,科学研究和技术服务业-专业技术服务业,10.661910424098297,-0.3300418671140498,-1.0332834930630184,1.0610663597236512,-0.780271622016557,-0.17293823610962533,-0.06923333333333334,-0.06656666666666668,0.010666666666666666,-0.06656666666666668,1.2876,5.9,5.9,0.06860000000000001,0.508,-0.06860000000000001,0.06860000000000001,-0.07990000000000001,177724289.2,19.35,2026-04-28
2256,300357,我武生物,制造业-医药制造业,10.622275069361871,-0.33033440276456244,-0.3417860931873926,-0.5128820154390911,-0.023845323397902005,-0.4042026463350149,-0.022600000000000002,-0.034100000000000005,-0.046000000000000006,-0.034100000000000005,1.0444,2.46,2.46,0.0404,0.4655,-0.0404,0.0404,0.023400000000000004,312698565.58,25.93,2026-04-28
2257,002919,名臣健康,信息传输、软件和信息技术服务业-互联网和相关服务,10.582639714625445,-0.33055337264182827,-0.16702993193652965,-0.49874225830804453,-0.21212766220288415,-0.6442020189975228,-0.0316,-0.0432,-0.0464,-0.0432,1.08,3.31,3.31,0.0507,0.4652,-0.0507,0.0507,0.014799999999999994,200558491.4,23.0,2026-04-28
2258,600708,光明地产,房地产业-房地产业,10.543004359889022,-0.3313904094087825,-0.11338769098347742,-1.18238372799112,0.6201701533041548,-0.7631562111896164,-0.008341666666666666,-0.01958333333333333,-0.04496666666666666,-0.01958333333333333,1.0116,1.5,1.5,0.029500000000000002,0.466275,-0.029500000000000002,0.029500000000000002,0.036625,113266566.0,3.4,2026-04-28
2259,603988,中电电机,制造业-电气机械和器材制造业,10.503369005152596,-0.3322387372989164,-0.7667602348820272,0.26575173167536315,-0.0005758114372615558,-0.6123827598499597,-0.07229166666666667,-0.09268333333333334,-0.08156666666666666,-0.09268333333333334,1.2076,3.17,3.17,0.0416,0.438825,-0.0416,0.0416,0.009274999999999992,187428515.0,24.85,2026-04-28
2260,600120,浙江东方,金融业-其他金融业,10.46373365041617,-0.332406116963702,-0.5402381522680031,-0.5553696966389713,0.6236534788156053,-0.6813275177325265,-0.026916666666666665,-0.041633333333333335,-0.05886666666666667,-0.041633333333333335,1.0488,1.36,1.36,0.0139,0.45585,-0.0139,0.0139,0.031950000000000006,264179429.0,5.69,2026-04-28
2261,603612,索通发展,制造业-非金属矿物制品业,10.424098295679746,-0.33265250999357543,-0.43448865058581987,-0.509638882817985,0.3552293809098658,-0.6832880349114961,-0.038391666666666664,-0.05168333333333333,-0.05316666666666667,-0.05168333333333333,1.1004,2.29,2.29,0.0406,0.460125,-0.0406,0.0406,0.014775000000000003,281107208.0,24.5,2026-04-28
2262,002664,信质集团,制造业-汽车制造业,10.384462940943322,-0.33288815003463773,-0.3843599713789616,-0.3105285768458938,0.009583123913141159,-0.6895242803613855,-0.053575,-0.07744999999999999,-0.09549999999999999,-0.07744999999999999,1.1188,1.55,1.55,0.0406,0.428375,-0.0406,0.0406,0.04192499999999999,123806985.82,19.6,2026-04-28
2263,300465,高伟达,信息传输、软件和信息技术服务业-软件和信息技术服务业,10.344827586206897,-0.3332922530514226,-0.28590916559553065,-0.36218207352442655,-0.09749620573494036,-0.725892181900771,-0.058366666666666664,-0.08523333333333333,-0.10746666666666667,-0.08523333333333333,1.126,1.94,1.94,0.042699999999999995,0.4194,-0.042699999999999995,0.042699999999999995,0.049100000000000005,120355282.4,13.85,2026-04-28
2264,301381,赛维时代,批发和零售业-零售业,10.305192231470471,-0.3340949100643008,-0.6959203729154723,0.48002843103719495,-0.5498235647625583,-0.4384610380326597,-0.05655833333333333,-0.06691666666666667,-0.04143333333333333,-0.06691666666666667,1.1848,3.48,3.48,0.057699999999999994,0.468925,-0.057699999999999994,0.057699999999999994,-0.015125,141876614.02,20.65,2026-04-28
2265,002370,亚太药业,制造业-医药制造业,10.265556876734047,-0.33433152582107123,-0.46885333035120563,-0.17480215981539055,-0.23198778031849898,-0.37794731775361057,-0.027575000000000002,-0.03735,-0.0391,-0.03735,1.0712,3.64,3.64,0.046,0.470675,-0.046,0.046,0.011525,182186641.57,6.62,2026-04-28
2266,603212,赛伍技术,制造业-橡胶和塑料制品业,10.225921521997622,-0.3345036411476726,-0.7721377006576509,0.7088210011802982,-1.0761407937634446,0.08249565048668095,-0.07066666666666666,-0.08703333333333332,-0.06546666666666667,-0.08703333333333332,1.2172,5.94,5.94,0.0761,0.45089999999999997,-0.0761,0.0761,-0.005199999999999982,345179611.0,13.05,2026-04-28
2267,300404,博济医药,科学研究和技术服务业-研究和试验发展,10.186286167261196,-0.33465606936527026,-0.5754776127366462,-0.314863550683658,-0.1094259931364047,-0.02575958648277532,-0.013108333333333333,-0.015916666666666666,-0.011233333333333333,-0.015916666666666666,1.0412,6.86,6.86,0.056799999999999996,0.491575,-0.056799999999999996,0.056799999999999996,-0.001875,210472374.0,10.62,2026-04-28
2268,300910,瑞丰新材,制造业-化学原料和化学制品制造业,10.146650812524772,-0.3349123441983876,-0.5070370417823872,-0.4670657907621127,0.46087354047574747,-0.7167052526003603,-0.04126666666666666,-0.05973333333333333,-0.07386666666666666,-0.05973333333333333,1.0912,1.78,1.78,0.0297,0.4446,-0.0297,0.0297,0.032600000000000004,173227102.42,46.74,2026-04-28
2269,301136,招标股份,科学研究和技术服务业-专业技术服务业,10.107015457788346,-0.3352165973148287,0.1475042281883322,-0.9265113427178211,-0.31363082666006803,-0.6657619171912847,-0.011725000000000003,-0.028750000000000005,-0.06810000000000001,-0.028750000000000005,1.0212,2.87,2.87,0.0519,0.448925,-0.0519,0.0519,0.05637500000000001,122201159.88,15.31,2026-04-28
