rank,code,name,industry,score_100,composite_score,rps_score,rps20,rps90,ret_20d_pct,ret_90d_pct,close_today,amount_today,trade_date
164,300503,昊志机电,机械基件,45.666666666666664,97.743289345752,94.12202688728024,93.71251292657703,94.39503619441571,27.54,63.8,92.3,3576224980.73,20260630
165,603115,海星股份,铝,45.33333333333333,97.73060154534866,96.28541882109617,90.77559462254395,99.95863495346433,18.1,429.71,122.47,1071527396.0,20260630
166,603399,永杉锂业,小金属,45.0,97.66589479398212,94.7921406411582,90.8583247156153,97.41468459152016,18.75,112.88,22.48,2383277178.0,20260630
167,300136,信维通信,元器件,44.666666666666664,97.61477254377859,93.0134436401241,94.35367114788004,92.11995863495346,30.29,45.16,119.25,9838337615.24,20260630
168,300747,锐科激光,专用机械,44.333333333333336,97.60582958562806,95.28024819027922,95.73940020682524,94.9741468459152,35.78,70.38,53.09,1747084312.44,20260630
169,002515,金字火腿,食品,44.0,97.59377050644697,96.2316442605998,98.55222337125129,94.68459152016547,60.42,66.56,10.01,1020215190.82,20260630
170,002185,华天科技,半导体,43.666666666666664,97.57353805137649,92.93898655635988,91.74767321613237,93.73319544984489,21.05,58.34,22.31,10316629245.7,20260630
171,601636,旗滨集团,玻璃,43.333333333333336,97.53770437734268,93.60082730093072,97.86970010341261,90.75491209927611,51.33,37.69,10.23,4405633098.0,20260630
172,002747,埃斯顿,机械基件,43.0,97.53372247626835,94.61013443640124,96.35987590486039,93.44364012409514,39.45,55.48,37.33,2452028786.24,20260630
173,600563,法拉电子,元器件,42.66666666666667,97.46773423301164,94.49431230610134,92.53360910031023,95.80144777662875,23.58,80.72,190.8,2500995717.0,20260630
174,603155,新亚强,化工原料,42.333333333333336,97.41156847048961,96.09927611168563,98.2833505687694,94.64322647362978,57.03,66.36,28.58,994267977.0,20260630
175,300540,蜀道装备,专用机械,42.0,97.3844406957848,95.60703205791106,97.58014477766287,94.29162357807652,47.24,63.08,37.9,1271793375.61,20260630
176,002046,国机精工,机械基件,41.66666666666667,97.352066706291,95.39193381592555,97.47673216132368,94.0020682523268,46.98,60.07,73.65,1449925812.1,20260630
177,605289,罗曼股份,建筑工程,41.333333333333336,97.3438830234963,96.41365046535677,95.7187176835574,96.87693898655635,35.76,99.23,145.0,727713395.0,20260630
178,300382,斯莱克,专用机械,41.0,97.33447625460805,95.64012409513961,97.35263702171665,94.49844881075491,46.45,65.43,23.11,1225792123.47,20260630
179,301369,联动科技,半导体,40.666666666666664,97.26955649386566,96.30610134436401,95.26370217166495,97.00103412616339,34.14,101.53,245.0,729126184.9200001,20260630
180,002741,光华科技,化工原料,40.33333333333333,97.2628260847159,94.85418821096174,94.45708376421923,95.11892450879007,30.68,71.99,35.74,1872172643.94,20260630
181,300613,富瀚微,半导体,40.0,97.24884992115217,95.23888314374354,95.57394002068253,95.01551189245087,35.22,71.04,80.08,1470021955.87,20260630
182,300162,雷曼光电,元器件,39.666666666666664,97.24064218891183,95.21406411582214,96.87693898655635,94.10548086866598,43.11,60.77,13.81,1480998230.3200002,20260630
183,603936,博敏电子,元器件,39.33333333333333,97.23295667320583,95.05687693898656,91.14788004136504,97.66287487073423,19.45,119.84,26.71,1591779904.0,20260630
184,600961,株冶集团,铅锌,39.0,97.22394156671832,94.18407445708377,94.20889348500518,94.16752843846949,29.87,61.14,32.39,2562336127.0,20260630
